created_at,description,issued,flow,wallet
2025-03-05 00:00:00,BUDGET,800000.0,IN,freedom_fund
2025-03-01 00:00:00,FAMILY MART,8500.0,OUT,freedom_fund
2025-03-02 00:00:00,FARMER MARKET,28900.0,OUT,freedom_fund
2025-03-02 00:00:00,PISANG,33000.0,OUT,freedom_fund
2025-03-03 00:00:00,ES KRIM,15000.0,OUT,freedom_fund
2025-03-04 00:00:00,SNACK,23100.0,OUT,freedom_fund
2025-03-05 00:00:00,BURGER (FADZAR),20000.0,OUT,freedom_fund
2025-03-05 00:00:00,ADMIN SOBATKU,2500.0,OUT,freedom_fund
2025-03-06 00:00:00,SNACK,56700.0,OUT,freedom_fund
2025-03-09 00:00:00,KOLEKTE,15000.0,OUT,freedom_fund
2025-03-09 00:00:00,REZA (MUSEUM),25000.0,OUT,freedom_fund
2025-03-09 00:00:00,TEDDY (MUSEUM),25000.0,OUT,freedom_fund
2025-03-09 00:00:00,IMPERAL,82814.0,OUT,freedom_fund
2025-03-09 00:00:00,KFC,11500.0,OUT,freedom_fund
2025-03-10 00:00:00,PRINT CHEATSHEET,6000.0,OUT,freedom_fund
2025-03-10 00:00:00,KACAMATA,23900.0,OUT,freedom_fund
2025-03-12 00:00:00,POTONG RAMBUT,35000.0,OUT,freedom_fund
2025-03-14 00:00:00,FAMILY MART,17700.0,OUT,freedom_fund
2025-03-16 00:00:00,KOLEKTE,20000.0,OUT,freedom_fund
2025-03-16 00:00:00,TARIK TUNAI,50000.0,OUT,freedom_fund
2025-03-18 00:00:00,TARIK TUNAI,50000.0,OUT,freedom_fund
2025-03-18 00:00:00,CALL OF DUTY,100000.0,OUT,freedom_fund
2025-03-20 00:00:00,CALL OF DUTY,100000.0,OUT,freedom_fund
2025-03-21 00:00:00,KOLEKTE,15000.0,OUT,freedom_fund
2025-03-22 00:00:00,ES KRIM,6000.0,OUT,freedom_fund
2025-03-27 00:00:00,GOJEK,10000.0,OUT,freedom_fund
2025-03-28 00:00:00,AGAM,53000.0,OUT,freedom_fund
2025-03-29 00:00:00,FAMILY MART,7300.0,OUT,freedom_fund
2025-03-29 00:00:00,ALFA (SNACK ROAD TRIP),26000.0,OUT,freedom_fund
2025-03-30 00:00:00,PAKET TELFON,5000.0,OUT,freedom_fund
2025-03-30 00:00:00,MIXUE,8000.0,OUT,freedom_fund
2025-03-30 00:00:00,MAKAN VIET26,90000.0,OUT,freedom_fund
2025-03-31 00:00:00,SPAGHETI,7900.0,OUT,freedom_fund
2025-03-31 00:00:00,TARIK TUNAI,50000.0,OUT,freedom_fund
2025-03-01 00:00:00,BUDGET (WIFI),185000.0,IN,savings
2025-03-05 00:00:00,BUDGET (KJSB),2000000.0,IN,savings
2025-03-06 00:00:00,KREDIVO MAMA,2848990.0,IN,savings
2025-03-06 00:00:00,KREDIVO MAMA,2848990.0,IN,savings
2025-03-06 00:00:00,KREDIVO MAMA,2850000.0,IN,savings
2025-03-18 00:00:00,CALL OF DUTY,100000.0,IN,savings
2025-03-19 00:00:00,TRAVELOKA,270000.0,IN,savings
2025-03-20 00:00:00,CALL OF DUTY,100000.0,IN,savings
2025-03-27 00:00:00,BUDGET (LACAK.IO),6000000.0,IN,savings
2025-03-03 00:00:00,BUDGET (BUSINESS),500000.0,OUT,savings
2025-03-03 00:00:00,BUDGET (CHARITY),500000.0,OUT,savings
2025-03-06 00:00:00,KREDIVO (MAMA),2848990.0,OUT,savings
2025-03-06 00:00:00,KREDIVO (MAMA),2848990.0,OUT,savings
2025-03-06 00:00:00,KREDIVO (MAMA),2848990.0,OUT,savings
2025-03-18 00:00:00,CALL OF DUTY MW1,295000.0,OUT,savings
2025-03-19 00:00:00,TRAVELOKA,270000.0,OUT,savings
2025-03-20 00:00:00,CALL OF DUTY MW2,416000.0,OUT,savings
2025-03-03 00:00:00,BUDGET,500000.0,IN,business
2025-03-03 00:00:00,EXTEND erwinyonata.com,234494.0,OUT,business
2025-03-03 00:00:00,BDUGET,500000.0,IN,charity
2025-03-16 00:00:00,TARIK TUNAI (FOYA),50000.0,IN,charity
2025-03-18 00:00:00,TARIK TUNAI (FOYA),50000.0,IN,charity
2025-03-31 00:00:00,TARIK TUNAI (FOYA),50000.0,IN,charity
2025-03-04 00:00:00,BUAT MAMA,30000.0,OUT,charity
2025-03-10 00:00:00,BUAT MAMA,30000.0,OUT,charity
2025-03-10 00:00:00,TARIK TUNAI,300000.0,OUT,charity
2025-03-10 00:00:00,PRINT CHEATSHEET,6000.0,OUT,charity
2025-03-13 00:00:00,DISABILITY MUSICIAN,300000.0,OUT,charity
2025-03-13 00:00:00,APSU (PYSCHOLOGY),200000.0,OUT,charity
2025-03-29 00:00:00,BUAT MAMA,105000.0,OUT,charity
2025-03-01 00:00:00,BUDGET (PAPA),1800000.0,IN,daily_needs
2025-03-01 00:00:00,WIFI,185000.0,OUT,daily_needs
2025-03-01 00:00:00,PARKIR KALIBATA,75000.0,OUT,daily_needs
2025-03-02 00:00:00,FARMER MARKET,129700.0,OUT,daily_needs
2025-03-03 00:00:00,KETOPRAK,16000.0,OUT,daily_needs
2025-03-04 00:00:00,KANTIN,17000.0,OUT,daily_needs
2025-03-06 00:00:00,KANTIN,25000.0,OUT,daily_needs
2025-03-06 00:00:00,PEAR + ROTI,74817.0,OUT,daily_needs
2025-03-06 00:00:00,MINYAK GORENG,39500.0,OUT,daily_needs
2025-03-07 00:00:00,PISANG,15000.0,OUT,daily_needs
2025-03-07 00:00:00,AIR MINERAL,6800.0,OUT,daily_needs
2025-03-07 00:00:00,KANTIN,16000.0,OUT,daily_needs
2025-03-07 00:00:00,GALON,30000.0,OUT,daily_needs
2025-03-08 00:00:00,ESKRIM + DANCOW,45000.0,OUT,daily_needs
2025-03-10 00:00:00,MAKAN (FADZAR),27000.0,OUT,daily_needs
2025-03-11 00:00:00,KANTIN,25000.0,OUT,daily_needs
2025-03-11 00:00:00,GOJEK,15000.0,OUT,daily_needs
2025-03-12 00:00:00,BAYAR IPL,379000.0,OUT,daily_needs
2025-03-12 00:00:00,KRUPUK,10000.0,OUT,daily_needs
2025-03-12 00:00:00,FAMILY MARKET,7300.0,OUT,daily_needs
2025-03-12 00:00:00,PISANG,30000.0,OUT,daily_needs
2025-03-13 00:00:00,KANTIN,30000.0,OUT,daily_needs
2025-03-13 00:00:00,AYAM FARMERS,14500.0,OUT,daily_needs
2025-03-14 00:00:00,PRINT,4000.0,OUT,daily_needs
2025-03-14 00:00:00,PRINT,2000.0,OUT,daily_needs
2025-03-14 00:00:00,KANTIN,30000.0,OUT,daily_needs
2025-03-19 00:00:00,KAKI TIGA,15800.0,OUT,daily_needs
2025-03-19 00:00:00,PISANG,15000.0,OUT,daily_needs
2025-03-20 00:00:00,BENSIN,30000.0,OUT,daily_needs
2025-03-20 00:00:00,KANTIN,33000.0,OUT,daily_needs
2025-03-20 00:00:00,KUOTA,23000.0,OUT,daily_needs
2025-03-20 00:00:00,CUCI MOTOR,18000.0,OUT,daily_needs
2025-03-20 00:00:00,FARMER MARKET,24500.0,OUT,daily_needs
2025-03-22 00:00:00,DANCOW,34000.0,OUT,daily_needs
2025-03-25 00:00:00,GALON,30000.0,OUT,daily_needs
2025-03-26 00:00:00,KANTIN,22000.0,OUT,daily_needs
2025-03-26 00:00:00,FAMILY MARKET,14100.0,OUT,daily_needs
2025-03-27 00:00:00,KATSU (NISRINA),21000.0,OUT,daily_needs
2025-03-28 00:00:00,FAMERS MARKET,187200.0,OUT,daily_needs
2025-03-29 00:00:00,BENSIN,28036.0,OUT,daily_needs
